job,salary,where,time,catagory,num,createtime,companyname,properties,scale,industry
初中英语教师（应届生可投）,年薪10-18w,南通,应届,初中教师,10人,昨天发布,南通市崇川区新东方培训学校,其他,100-499人,教育/培训/学术/科研/院校
伊利2021年校招-销售培训生（液态奶）,年薪8-18w,海口,应届,其他培训生/储备干部,17人,昨天发布,伊利实业,国内上市公司,10000人以上,食品/饮料/烟酒/日化
人事实习生,2480元/月,上海-闵行区,实习3天/周,人力资源专员/助理,1人,昨天发布,安费诺永亿,外商独资·外企办事处,5000-10000人,电子技术/半导体/集成电路
汽车项目管理,年薪5-7w,保定,应届,汽车项目管理,不限,昨天发布,长城汽车,国内上市公司,10000人以上,汽车/摩托车
理财顾问（管培生，投资顾问方向）,年薪10-18w,佛山-高明区,应届,投资/理财顾问,不限,昨天发布,国信证券佛山禅城分公司,国有企业,5000-10000人,证券
质量工程师（现场）,面议,杭州-余杭区,应届,其他项目管理职位,不限,昨天发布,南都电源,国内上市公司,5000-10000人,新能源
日本免税店日语翻译,年薪18-24w,广州,应届,日语翻译,5人,昨天发布,辽宁语嫣商务信息咨询有限公司,私营·民营企业,1-49人,咨询服务
储备干部,年薪7-12w,上海,应届,储备干部,5人,昨天发布,上海飞奥燃气设备有限公司,中外合营(合资·合作),100-499人,机械制造/机电/重工
服务设计实习生,150元/日,上海-静安区,实习4天/周,售前支持工程师,2人,昨天发布,华院数据,私营·民营企业,100-499人,人工智能
高端销售管培生（无责底薪8千住宿方案客户代表）,年薪10-18w,北京-朝阳区,应届,管理培训生,8人,昨天发布,麦田房产,私营·民营企业,5000-10000人,房地产服务(物业管理/地产经纪)
仓库主管,年薪8-10w,上海-金山区,应届,仓库经理/主管,2人,昨天发布,上海佳勒电子有限公司,私营·民营企业,100-499人,电子技术/半导体/集成电路
没工作经验+找销售工作,年薪8-14w,深圳,应届,销售代表,5人,昨天发布,深圳市乐有家控股集团有限公司,私营·民营企业,10000人以上,房地产服务(物业管理/地产经纪)
视觉设计师（实习）,120元/月,上海-静安区,实习4天/周,视觉设计师,1人,昨天发布,华院数据,私营·民营企业,100-499人,人工智能
电池/电源开发,年薪11-14w,珠海-香洲区,应届,电子技术研发工程师,5人,昨天发布,珠海泰坦新动力电子有限公司,私营·民营企业,500-999人,新能源
日本免税店日语翻译,年薪18-24w,深圳,应届,日语翻译,5人,昨天发布,辽宁语嫣商务信息咨询有限公司,私营·民营企业,1-49人,咨询服务
建筑方案设计师助理,年薪5-7w,福州,应届,建筑设计师,2人,昨天发布,福建省新广厦工程设计研究院有限公司,其他,50-99人,规划/设计/装潢
公关专员/助理,150元/日,上海-黄浦区,实习2天/周,公关专员/助理,1人,昨天发布,上海传动海量市场营销策划有限公司,私营·民营企业,1-49人,公关服务
BIM建模师,年薪8-10w,深圳-罗湖区,应届,建筑制图/模型/渲染,1人,昨天发布,博莱克威奇,外商独资·外企办事处,10000人以上,能源(电力/水利)
大数据开发工程师/储备干部,年薪5-7w,北京,应届,数据开发,10人,昨天发布,北京奇点领创股权投资管理有限公司,私营·民营企业,100-499人,大数据
咨询顾问,年薪8-11w,苏州,应届,咨询顾问/咨询员,20人,昨天发布,瑞泰,私营·民营企业,100-499人,计算机软件
